date,count,type,color
1/31/13,2667,a,#17becf
1/31/13,2968,c,#ff7f0e
1/31/13,3530,b,#9467bd
2/28/13,1916,a,#17becf
2/28/13,2194,c,#ff7f0e
2/28/13,3215,b,#9467bd
3/31/13,2343,a,#17becf
3/31/13,2606,c,#ff7f0e
3/31/13,3571,b,#9467bd
4/30/13,2591,a,#17becf
4/30/13,3056,c,#ff7f0e
4/30/13,3611,b,#9467bd
5/31/13,2746,a,#17becf
5/31/13,3166,c,#ff7f0e
5/31/13,3813,b,#9467bd
6/30/13,2352,a,#17becf
6/30/13,2704,c,#ff7f0e
6/30/13,3420,b,#9467bd
7/31/13,2495,a,#17becf
7/31/13,2817,c,#ff7f0e
7/31/13,3852,b,#9467bd
8/31/13,2468,a,#17becf
8/31/13,2894,c,#ff7f0e
8/31/13,3969,b,#9467bd
9/30/13,2381,a,#17becf
9/30/13,2897,c,#ff7f0e
9/30/13,3876,b,#9467bd
10/31/13,3058,a,#17becf
10/31/13,3360,c,#ff7f0e
10/31/13,3927,b,#9467bd
11/30/13,2362,a,#17becf
11/30/13,2793,c,#ff7f0e
11/30/13,3151,b,#9467bd
12/31/13,2503,a,#17becf
12/31/13,2894,c,#ff7f0e
12/31/13,3498,b,#9467bd
1/31/14,2596,a,#17becf
1/31/14,2939,c,#ff7f0e
1/31/14,3054,b,#9467bd
2/28/14,2632,a,#17becf
2/28/14,2804,c,#ff7f0e
2/28/14,2920,b,#9467bd
3/31/14,2581,a,#17becf
3/31/14,2893,c,#ff7f0e
3/31/14,3170,b,#9467bd
4/30/14,2718,a,#17becf
4/30/14,3067,c,#ff7f0e
4/30/14,3569,b,#9467bd
5/31/14,2470,a,#17becf
5/31/14,2906,c,#ff7f0e
5/31/14,3422,b,#9467bd
6/30/14,2643,a,#17becf
6/30/14,3007,c,#ff7f0e
6/30/14,3340,b,#9467bd
7/31/14,2711,a,#17becf
7/31/14,3195,c,#ff7f0e
7/31/14,3828,b,#9467bd
8/31/14,2311,a,#17becf
8/31/14,2702,c,#ff7f0e
8/31/14,3606,b,#9467bd
9/30/14,2652,a,#17becf
9/30/14,3046,c,#ff7f0e
9/30/14,3559,b,#9467bd
10/31/14,2705,a,#17becf
10/31/14,2992,c,#ff7f0e
10/31/14,3596,b,#9467bd
11/30/14,2247,a,#17becf
11/30/14,2539,c,#ff7f0e
11/30/14,2973,b,#9467bd
12/31/14,2260,a,#17becf
12/31/14,2563,c,#ff7f0e
12/31/14,3196,b,#9467bd
1/31/15,2547,a,#17becf
1/31/15,2772,c,#ff7f0e
1/31/15,2840,b,#9467bd
2/28/15,2113,a,#17becf
2/28/15,2390,c,#ff7f0e
2/28/15,2958,b,#9467bd
3/31/15,2511,a,#17becf
3/31/15,2741,c,#ff7f0e
3/31/15,3168,b,#9467bd
4/30/15,2434,a,#17becf
4/30/15,2756,c,#ff7f0e
4/30/15,3254,b,#9467bd
5/31/15,2153,a,#17becf
5/31/15,2420,c,#ff7f0e
5/31/15,2888,b,#9467bd
6/30/15,2432,a,#17becf
6/30/15,2753,c,#ff7f0e
6/30/15,3081,b,#9467bd
7/31/15,2289,a,#17becf
7/31/15,2577,c,#ff7f0e
7/31/15,3433,b,#9467bd
8/31/15,2179,a,#17becf
8/31/15,2412,c,#ff7f0e
8/31/15,3058,b,#9467bd
9/30/15,2387,a,#17becf
9/30/15,2666,c,#ff7f0e
9/30/15,3430,b,#9467bd
10/31/15,2216,a,#17becf
10/31/15,2617,c,#ff7f0e
10/31/15,3455,b,#9467bd
11/30/15,1979,a,#17becf
11/30/15,2270,c,#ff7f0e
11/30/15,2964,b,#9467bd
12/31/15,2145,a,#17becf
12/31/15,2581,c,#ff7f0e
12/31/15,3116,b,#9467bd
1/31/16,2261,a,#17becf
1/31/16,2485,c,#ff7f0e
1/31/16,2305,b,#9467bd
2/29/16,2097,a,#17becf
2/29/16,2195,c,#ff7f0e
2/29/16,2501,b,#9467bd
3/31/16,2260,a,#17becf
3/31/16,2473,c,#ff7f0e
3/31/16,2926,b,#9467bd
4/30/16,1986,a,#17becf
4/30/16,2301,c,#ff7f0e
4/30/16,2689,b,#9467bd
5/31/16,2163,a,#17becf
5/31/16,2433,c,#ff7f0e
5/31/16,2707,b,#9467bd
6/30/16,2426,a,#17becf
6/30/16,2645,c,#ff7f0e
6/30/16,2937,b,#9467bd
7/31/16,1925,a,#17becf
7/31/16,2230,c,#ff7f0e
7/31/16,2531,b,#9467bd
8/31/16,2345,a,#17becf
8/31/16,2592,c,#ff7f0e
8/31/16,2579,b,#9467bd
9/30/16,2216,a,#17becf
9/30/16,2425,c,#ff7f0e
9/30/16,2768,b,#9467bd
10/31/16,2110,a,#17becf
10/31/16,2405,c,#ff7f0e
10/31/16,2305,b,#9467bd
11/30/16,2083,a,#17becf
11/30/16,2368,c,#ff7f0e
11/30/16,2296,b,#9467bd
12/31/16,2073,a,#17becf
12/31/16,2420,c,#ff7f0e
12/31/16,2564,b,#9467bd
1/31/17,2182,a,#17becf
1/31/17,2415,c,#ff7f0e
1/31/17,2128,b,#9467bd
2/28/17,1854,a,#17becf
2/28/17,2023,c,#ff7f0e
2/28/17,2221,b,#9467bd
3/31/17,2034,a,#17becf
3/31/17,2456,c,#ff7f0e
3/31/17,2804,b,#9467bd
4/30/17,1910,a,#17becf
4/30/17,2116,c,#ff7f0e
4/30/17,2154,b,#9467bd
5/31/17,2044,a,#17becf
5/31/17,2458,c,#ff7f0e
5/31/17,2601,b,#9467bd
6/30/17,2094,a,#17becf
6/30/17,2512,c,#ff7f0e
